row	seed	threads	draw	outcome	moves	passes	time	fringe	closed	mvtree
6865	6865	16	3	0	106	4	0.8534	1493329	4765736	2390123
6866	6866	16	3	0	96	4	0.05264	204801	343495	126872
6867	6867	16	3	0	101	3	0.1116	291720	688911	349166
6868	6868	16	3	0	100	3	0.185	535663	1204607	598182
6869	6869	16	3	0	93	2	0.05295	45770	231229	132375
6870	6870	16	3	0	96	3	0.6341	1575161	3892240	1891671
6871	6871	16	3	0	101	3	2.079	6113600	13277457	6013951
6872	6872	16	3	2			0.04717	0	405	227
6873	6873	16	3	0	110	4	2.052	2673440	10259734	5687766
6874	6874	16	3	0	91	3	0.4971	1459962	3370794	1603704
6875	6875	16	3	0	126	6	0.05743	99194	290642	150463
6876	6876	16	3	0	94	3	0.4092	815816	2494477	1255607
6877	6877	16	3	0	96	3	0.05221	206610	353931	147934
6878	6878	16	3	0	104	4	0.09366	355021	663674	274960
6879	6879	16	3	0	89	2	0.3444	1524085	2738433	1109243
6880	6880	16	3	0	89	3	1.329	5870360	10355584	4340809
6881	6881	16	3	0	102	3	3.96	9064201	23356640	11938012
6882	6882	16	3	0	103	3	0.2377	327125	1334446	682623
6883	6883	16	3	0	102	3	2.119	4402940	11626650	5552948
6884	6884	16	3	0	97	3	0.05375	175806	332561	142638
6885	6885	16	3	2			0.04693	0	229	135
6886	6886	16	3	0	101	4	0.1764	257372	966713	497307
6887	6887	16	3	0	84	3	0.1719	498842	1137273	581746
6888	6888	16	3	0	103	3	0.5771	2502157	4435073	1867164
6889	6889	16	3	0	113	4	0.09992	137630	479571	276535
6890	6890	16	3	2			0.04754	0	2505	1442
6891	6891	16	3	2			0.04739	0	91065	54980
6892	6892	16	3	0	110	4	0.04756	17990	109188	61333
6893	6893	16	3	2			0.04704	0	19779	11918
6894	6894	16	3	0	97	3	1.103	4057965	8043911	3471325
6895	6895	16	3	2			0.04692	0	24	17
6896	6896	16	3	0	100	5	0.07017	76892	330344	176660
6897	6897	16	3	0	93	3	0.1714	506344	1157810	535779
6898	6898	16	3	0	100	5	0.3238	432748	1738022	911038
6899	6899	16	3	0	108	6	0.4713	955978	2826248	1433788
6900	6900	16	3	0	104	4	4.645	6575061	23541355	12685474
6901	6901	16	3	2			0.05216	0	758	418
6902	6902	16	3	2			0.1825	0	754551	481371
6903	6903	16	3	0	101	3	0.102	178218	571185	296847
6904	6904	16	3	2			0.04705	0	15767	10216
6905	6905	16	3	0	99	3	2.531	7574064	15556079	6687167
6906	6906	16	3	0	97	4	0.6277	747934	3284028	1883168
6907	6907	16	3	3			68.52	21809137	240186114	150000009
6908	6908	16	3	0	97	2	0.1078	305187	719676	365966
6909	6909	16	3	2			5.57	0	20568969	12299008
6910	6910	16	3	0	107	5	0.07539	229282	489058	240898
6911	6911	16	3	0	108	3	0.4098	753158	2365816	1267659
6912	6912	16	3	0	94	3	0.2403	823067	1686845	754199
6913	6913	16	3	0	96	3	0.09621	236278	580333	244039
6914	6914	16	3	0	93	2	0.3	1553694	2608388	1013906
6915	6915	16	3	0	105	3	0.1844	372821	1124585	601536
6916	6916	16	3	0	102	3	0.763	2227270	5195966	2467591
