row	seed	threads	draw	outcome	moves	passes	time	fringe	advances	mvtree
29034	29034	16	3	0	110	3	0.6493	1309959	2596601	1925310
29035	29035	16	3	0	88	2	0.08088	292901	212402	207042
29036	29036	16	3	2			0.6812	0	2831111	1693017
29037	29037	16	3	2			0.02838	0	69140	33605
29038	29038	16	3	0	110	5	0.04178	65201	71739	63056
29039	29039	16	3	0	96	3	0.4158	809865	1629052	1173429
29040	29040	16	3	0	105	3	0.1672	436243	569972	460341
29041	29041	16	3	0	95	2	0.04472	89860	86921	76223
29042	29042	16	3	0	128	6	0.06818	36943	190242	132885
29043	29043	16	3	0	99	3	0.1415	188706	521087	378484
29044	29044	16	3	0	104	3	1.997	2378265	7711537	5311977
29045	29045	16	3	0	87	1	0.6493	2676161	2313860	1929575
29046	29046	16	3	0	91	2	0.2643	975873	940932	771195
29047	29047	16	3	0	99	3	0.548	1107551	2134661	1505841
29048	29048	16	3	2			0.004223	0	11	6
29049	29049	16	3	0	107	4	0.1036	20923	444788	258808
29050	29050	16	3	0	101	4	0.1587	492886	524539	420034
29051	29051	16	3	0	92	3	0.05777	114164	137024	109748
29052	29052	16	3	2			0.01572	0	19233	11950
29053	29053	16	3	0	102	4	0.04135	25417	81918	57470
29054	29054	16	3	0	86	2	0.05692	153951	123236	104303
29055	29055	16	3	0	100	4	0.104	255407	313692	258827
29056	29056	16	3	0	97	3	0.0782	116796	226064	166949
29057	29057	16	3	0	91	2	0.138	539589	405455	355113
29058	29058	16	3	2			11.4	0	37582942	22690903
29059	29059	16	3	2			0.004266	0	45	27
29060	29060	16	3	0	104	3	0.4057	1204201	1480285	1250567
29061	29061	16	3	0	93	3	0.05173	47507	126524	84288
29062	29062	16	3	2			0.006514	0	3283	1850
29063	29063	16	3	0	89	1	0.1415	495266	462634	409310
29064	29064	16	3	2			0.008366	0	7065	3352
29065	29065	16	3	0	103	4	6.83	18845783	22726409	18112750
29066	29066	16	3	0	96	4	0.1012	269280	319073	249223
29067	29067	16	3	0	89	3	1.185	5261897	3940862	3541188
29068	29068	16	3	0	110	4	1.625	5185752	5937907	4911347
29069	29069	16	3	0	104	3	0.2701	379075	1035167	767124
29070	29070	16	3	0	89	2	0.2987	1763955	981757	894708
29071	29071	16	3	0	96	2	0.2384	865949	863497	751975
29072	29072	16	3	0	98	4	0.0791	189290	209027	175476
29073	29073	16	3	0	103	4	0.3057	679314	1139819	878854
